id,forecast_date,actual_volume,pred_lstm,pred_prophet,pred_xgboost,pred_holtwinters,is_holdout,is_future,pred_sarimax,pred_holts_linear,weather_rainfall,weather_temp
791,2026-06-05T16:00:00.000Z,1537184,,,,,false,false,,,97.1,28.167708333333334
792,2026-06-06T16:00:00.000Z,1830178,,,,,false,false,,,189.8,28.945208333333333
793,2026-06-07T16:00:00.000Z,1239916,,,,,false,false,,,58.2,29.425
794,2026-06-08T16:00:00.000Z,1524635,,,,,false,false,,,40.7,29.58791666666667
795,2026-06-09T16:00:00.000Z,1475467,,,,,false,false,,,51.2,29.12375
796,2026-06-10T16:00:00.000Z,1218484,,,,,false,false,,,83.2,29.057291666666668
797,2026-06-11T16:00:00.000Z,1724528,,,,,false,false,,,117.7,28.719166666666666
798,2026-06-12T16:00:00.000Z,1464949,,,,,false,false,,,227.7,28.059375
799,2026-06-13T16:00:00.000Z,2149693,,,,,false,false,,,116.9,28.475208333333335
800,2026-06-14T16:00:00.000Z,1380533,,,,,false,false,,,131.4,28.371458333333333
801,2026-06-15T16:00:00.000Z,1390907,,,,,false,false,,,34.0,29.25958333333333
802,2026-06-16T16:00:00.000Z,1563069,,,,,false,false,,,52.5,29.409791666666667
803,2026-06-17T16:00:00.000Z,1227345,,,,,false,false,,,67.6,29.566458333333333
804,2026-06-18T16:00:00.000Z,1671509,,,,,false,false,,,207.1,29.220833333333335
805,2026-06-19T16:00:00.000Z,1676115,,,,,false,false,,,40.4,30.227083333333333
806,2026-06-20T16:00:00.000Z,1661846,,,,,false,false,,,102.2,29.683541666666667
807,2026-06-21T16:00:00.000Z,1301383,,,,,false,false,,,30.0,29.807708333333334
808,2026-06-22T16:00:00.000Z,1214507,,,,,false,false,,,33.4,29.576875
809,2026-06-23T16:00:00.000Z,1626086,,,,,false,false,,,57.1,28.358333333333334
810,2026-06-24T16:00:00.000Z,1293245,,,,,false,false,,,115.2,28.526041666666668
811,2026-06-25T16:00:00.000Z,1653969,,,,,false,false,,,221.8,27.955625
812,2026-06-26T16:00:00.000Z,1510766,,,,,false,false,,,71.1,28.464166666666667
813,2026-06-27T16:00:00.000Z,1751889,,,,,false,false,,,51.8,28.757083333333334
814,2026-06-28T16:00:00.000Z,1478798,,,,,false,false,,,118.7,28.49875
815,2026-06-29T16:00:00.000Z,1268654,,,,,false,false,,,14.4,28.2625
816,2026-06-30T16:00:00.000Z,1278048,,,,,false,false,,,324.72150537634406,27.6352688172043
817,2026-07-01T16:00:00.000Z,1428397,,,,,false,false,,,324.72150537634406,27.6352688172043
818,2026-07-02T16:00:00.000Z,1901398,,,,,false,false,,,324.72150537634406,27.6352688172043
819,2026-07-03T16:00:00.000Z,1659252,,,,,false,false,,,324.72150537634406,27.6352688172043
820,2026-07-04T16:00:00.000Z,2207237,,,,,false,false,,,324.72150537634406,27.6352688172043
821,2026-07-05T16:00:00.000Z,1393436,,,,,false,false,,,324.72150537634406,27.6352688172043
822,2026-07-06T16:00:00.000Z,1130395,,,,,false,false,,,324.72150537634406,27.6352688172043
823,2026-07-07T16:00:00.000Z,1616256,,,,,false,false,,,324.72150537634406,27.6352688172043
824,2026-07-08T16:00:00.000Z,1410339,,,,,false,false,,,324.72150537634406,27.6352688172043
825,2026-07-09T16:00:00.000Z,1898951,,,,,false,false,,,324.72150537634406,27.6352688172043
826,2026-07-10T16:00:00.000Z,1797766,,,,,false,false,,,324.72150537634406,27.6352688172043
827,2026-07-11T16:00:00.000Z,1581004,,,,,false,false,,,324.72150537634406,27.6352688172043
828,2026-07-12T16:00:00.000Z,1424521,,,,,false,false,,,324.72150537634406,27.6352688172043
829,2026-07-13T16:00:00.000Z,1216586,,,,,false,false,,,324.72150537634406,27.6352688172043
830,2026-07-14T16:00:00.000Z,1503818,,,,,false,false,,,324.72150537634406,27.6352688172043
831,2026-07-15T16:00:00.000Z,1519677,1562315,1410806,,1370085,true,false,1404426,1488424,324.72150537634406,27.6352688172043
832,2026-07-16T16:00:00.000Z,1612768,1776049,1787621,,1902748,true,false,1883169,1496621,324.72150537634406,27.6352688172043
833,2026-07-17T16:00:00.000Z,1725519,1775247,1645638,,1588525,true,false,1571035,1527618,324.72150537634406,27.6352688172043
834,2026-07-18T16:00:00.000Z,1675756,1610296,1819300,,1901860,true,false,1900199,1580573,324.72150537634406,27.6352688172043
835,2026-07-19T16:00:00.000Z,1328080,1389679,1435877,,1313562,true,false,1323195,1605940,324.72150537634406,27.6352688172043
836,2026-07-20T16:00:00.000Z,1294857,1315572,1411628,,1247171,true,false,1270985,1531115,324.72150537634406,27.6352688172043
837,2026-07-21T16:00:00.000Z,1649546,1394364,1420505,,1320785,true,false,1307137,1467464,324.72150537634406,27.6352688172043
838,2026-07-22T16:00:00.000Z,1522576,1627200,1426375,,1439996,true,false,1475535,1516170,324.72150537634406,27.6352688172043
839,2026-07-23T16:00:00.000Z,2086784,1751505,1801200,,1923266,true,false,1903950,1517694,324.72150537634406,27.6352688172043
840,2026-07-24T16:00:00.000Z,1533185,1853928,1656215,,1823436,true,false,1817662,1670342,324.72150537634406,27.6352688172043
841,2026-07-25T16:00:00.000Z,,1571885,1825884,,1936632,false,true,1906945,1633307,324.7215053763441,27.635268817204302
842,2026-07-26T16:00:00.000Z,,1462379,1437531,,1456530,false,true,1460710,1633110,324.7215053763441,27.635268817204302
843,2026-07-27T16:00:00.000Z,,1415153,1407496,,1385480,false,true,1397526,1632913,324.7215053763441,27.635268817204302
844,2026-07-28T16:00:00.000Z,,1506484,1409846,,1451886,false,true,1431439,1632716,324.7215053763441,27.635268817204302
845,2026-07-29T16:00:00.000Z,,1623275,1408588,,1418655,false,true,1435191,1632519,324.7215053763441,27.635268817204302
