id,model_name,target,rmse,mae,mse,wmape,r2,mase,mape,smape,rmsse,me,mpe,adjusted_r2,theils_u,train_r2,val_r2,gap,diagnosis,rank,accepted,rejected_reason,updated_at,uses_weather,aic,bic
111,Prophet_nw,Total Traffic,215274.15303185853,157028.08926421226,46342960963.584045,9.691042260375989,0.595203721617102,0.825735670849269,9.445744299175951,9.499225702482525,0.7739311623389272,,,,,,,,,1,true,,2026-08-19T17:42:34.907Z,false,,
112,Prophet,Total Traffic,217454.64578468454,158841.27863477578,47286522973.34262,9.802943862812414,0.5869619005933248,0.8352703671465656,9.5548378396892,9.613099847465008,0.7817702422605028,,,,,,,,,2,true,,2026-08-19T17:42:34.907Z,true,,
113,HoltWinters,Total Traffic,278032.75016008527,194188.6161649594,77302210161.58038,11.984416893541407,0.3247810167164519,1.0211451211793383,11.762943229638616,11.45440184543042,0.9995543193141214,,,,,,,,,3,false,MASE 1.021 >= 1.0 (no better than seasonal naive),2026-08-19T17:42:34.907Z,true,58120.72336177523,58184.32965546669
114,SARIMAX,Total Traffic,294247.85862113483,205481.5700498402,86581802303.12335,12.681365406738395,0.24372567873838247,1.080529368263386,12.513247757834755,12.099162790888045,1.0578491845451305,,,,,,,,,4,false,WMAPE 12.68% does not beat baseline 12.22%; MASE 1.081 >= 1.0 (no better than seasonal naive),2026-08-19T17:42:34.907Z,true,64937.38060090104,64989.358083519415
115,SARIMAX_nw,Total Traffic,300772.09119178593,209969.65606310093,90463850839.87999,12.95834917076758,0.20981677936063914,1.1041300675545394,12.80990039784102,12.344726119158166,1.0813044244132732,,,,,,,,,5,false,WMAPE 12.96% does not beat baseline 12.22%; MASE 1.104 >= 1.0 (no better than seasonal naive),2026-08-19T17:42:34.907Z,false,64959.91450942737,64988.7908886598
116,LSTM_nw,Total Traffic,321738.5246044618,235739.08051238774,103515678214.65588,14.548718018365348,0.09581173873414761,1.2396391543984113,13.750925735446366,14.26923952554186,1.1566807571157534,,,,,,,,,6,false,WMAPE 14.55% does not beat baseline 12.22%; MASE 1.240 >= 1.0 (no better than seasonal naive),2026-08-19T17:42:34.907Z,false,,
117,LSTM,Total Traffic,334411.27158363623,258484.52248435674,111830898562.18451,15.95246075263753,0.023179990985912724,1.3592465626875436,15.394707619749179,15.716782950903136,1.2022404941370766,,,,,,,,,7,false,WMAPE 15.95% does not beat baseline 12.22%; MASE 1.359 >= 1.0 (no better than seasonal naive),2026-08-19T17:42:34.907Z,true,,
118,Holts_Linear,Total Traffic,346535.0250932778,274714.97808253317,120086523616.39868,16.95412887357117,-0.04893120407338669,1.4445947714338108,17.17484516048317,16.480433093535897,1.2458265471466035,,,,,,,,,8,false,WMAPE 16.95% does not beat baseline 12.22%; MASE 1.445 >= 1.0 (no better than seasonal naive),2026-08-19T17:42:34.907Z,true,59993.35321287501,60016.48277421736
