timestamp,forecast_incidents
2026-07-25 21:00:00,1.3257104629390393
2026-07-25 22:00:00,1.3785050133825711
2026-07-25 23:00:00,1.3596581433800468
2026-07-26 00:00:00,1.5658729664853885
2026-07-26 01:00:00,1.5644848885413023
2026-07-26 02:00:00,1.526772542816946
2026-07-26 03:00:00,1.5582573966642528
2026-07-26 04:00:00,1.4721547717998824
2026-07-26 05:00:00,1.464095568177374
2026-07-26 06:00:00,1.4450623023307392
2026-07-26 07:00:00,1.4412546884840596
2026-07-26 08:00:00,1.4175013542203245
2026-07-26 09:00:00,1.3179104147036957
2026-07-26 10:00:00,1.5223884783329746
2026-07-26 11:00:00,1.3997929024133429
2026-07-26 12:00:00,1.5268162247841393
2026-07-26 13:00:00,1.4925239569306779
2026-07-26 14:00:00,1.3685243264190146
2026-07-26 15:00:00,1.2340222708974709
2026-07-26 16:00:00,1.357336742841875
2026-07-26 17:00:00,1.4751423774762138
2026-07-26 18:00:00,1.4751066552052305
2026-07-26 19:00:00,1.4978250800881718
2026-07-26 20:00:00,1.5062077423250597
2026-07-26 21:00:00,1.519503715371115
2026-07-26 22:00:00,1.5024842001865608
2026-07-26 23:00:00,1.5262144249845855
2026-07-27 00:00:00,1.050015978953839
2026-07-27 01:00:00,1.0873030737339708
2026-07-27 02:00:00,1.0662135175709038
2026-07-27 03:00:00,1.0843386858235537
2026-07-27 04:00:00,1.0964698124190115
2026-07-27 05:00:00,1.097975455532258
2026-07-27 06:00:00,1.0705352346566306
2026-07-27 07:00:00,1.0965568716088265
2026-07-27 08:00:00,1.0987252200093418
2026-07-27 09:00:00,1.1104012447555098
2026-07-27 10:00:00,1.0935734554346475
2026-07-27 11:00:00,1.0937894240419614
2026-07-27 12:00:00,1.093187198765239
2026-07-27 13:00:00,1.0947731757464412
2026-07-27 14:00:00,1.0937746490334546
2026-07-27 15:00:00,1.0727378477319003
2026-07-27 16:00:00,1.0625546341245922
2026-07-27 17:00:00,1.0751768600604252
2026-07-27 18:00:00,1.1313615707112648
2026-07-27 19:00:00,1.085607595460589
2026-07-27 20:00:00,1.065113955186931
2026-07-27 21:00:00,0.9586276006213931
2026-07-27 22:00:00,1.0262132501231533
2026-07-27 23:00:00,1.0430689694195898
2026-07-28 00:00:00,1.0132157453661388
2026-07-28 01:00:00,1.0148858208718767
2026-07-28 02:00:00,1.0312460159553687
2026-07-28 03:00:00,1.026917733094149
2026-07-28 04:00:00,1.0357102786922214
2026-07-28 05:00:00,1.0393152309316176
2026-07-28 06:00:00,1.0545027102557234
2026-07-28 07:00:00,1.039390890180545
2026-07-28 08:00:00,1.0463192359903184
2026-07-28 09:00:00,1.0326607273882777
2026-07-28 10:00:00,1.036532313268732
2026-07-28 11:00:00,1.0332152554578726
2026-07-28 12:00:00,1.013254634202248
2026-07-28 13:00:00,1.0116426306337443
2026-07-28 14:00:00,1.0157241801460117
2026-07-28 15:00:00,1.0082686536380556
2026-07-28 16:00:00,1.0701630553962778
2026-07-28 17:00:00,1.060234224439397
2026-07-28 18:00:00,1.1036036733892565
2026-07-28 19:00:00,1.06241093231483
2026-07-28 20:00:00,1.035009526239872
2026-07-28 21:00:00,0.9693439992876953
2026-07-28 22:00:00,0.9964195503182359
2026-07-28 23:00:00,0.9952223661210752
2026-07-29 00:00:00,1.0077984951626677
2026-07-29 01:00:00,1.0034109600388625
2026-07-29 02:00:00,1.0287883824820747
2026-07-29 03:00:00,1.0308730917252076
2026-07-29 04:00:00,1.049511105535138
2026-07-29 05:00:00,1.0449657085928619
2026-07-29 06:00:00,1.0788385536874894
2026-07-29 07:00:00,1.0571565061542645
2026-07-29 08:00:00,1.039768825478094
2026-07-29 09:00:00,1.0394658536344292
2026-07-29 10:00:00,1.0336090723514448
2026-07-29 11:00:00,1.0053377183278671
2026-07-29 12:00:00,1.0168582357316325
2026-07-29 13:00:00,1.010534287616819
2026-07-29 14:00:00,1.0256104615226203
2026-07-29 15:00:00,1.0158192164460722
2026-07-29 16:00:00,1.0748910146065584
2026-07-29 17:00:00,1.0749013490134598
2026-07-29 18:00:00,1.094157032177439
2026-07-29 19:00:00,1.0816284979162913
2026-07-29 20:00:00,1.0429330885070727
2026-07-29 21:00:00,0.9936732906969244
2026-07-29 22:00:00,0.9920152541938889
2026-07-29 23:00:00,0.9903974694983545
2026-07-30 00:00:00,0.9973218689607061
2026-07-30 01:00:00,0.9981079483444639
2026-07-30 02:00:00,1.0234609702883195
2026-07-30 03:00:00,1.0265901438669889
2026-07-30 04:00:00,1.0386652673162704
2026-07-30 05:00:00,1.0504427546080533
2026-07-30 06:00:00,1.0654378821888848
2026-07-30 07:00:00,1.0515070762948617
2026-07-30 08:00:00,1.0472131156961397
2026-07-30 09:00:00,1.022234855781057
2026-07-30 10:00:00,1.0200902010041064
2026-07-30 11:00:00,1.0519596831681666
2026-07-30 12:00:00,1.0366820833141275
2026-07-30 13:00:00,1.0220858774778667
2026-07-30 14:00:00,1.038294829852941
2026-07-30 15:00:00,1.018122819046919
2026-07-30 16:00:00,1.0720278756060448
2026-07-30 17:00:00,1.0668146842642876
2026-07-30 18:00:00,1.098334091185416
2026-07-30 19:00:00,1.0736131691312885
2026-07-30 20:00:00,1.0473591620537401
2026-07-30 21:00:00,0.9663460944430698
2026-07-30 22:00:00,0.98920291198661
2026-07-30 23:00:00,0.9861253808072181
2026-07-31 00:00:00,1.3558196813858334
2026-07-31 01:00:00,1.3669463735881868
2026-07-31 02:00:00,1.373234122075471
2026-07-31 03:00:00,1.3963674119055858
2026-07-31 04:00:00,1.3716219176119713
2026-07-31 05:00:00,1.4209913547887452
